id,time,female,age,yincome,savings,retirement,meeting
1,0,TRUE,77,49335.8171237015,7400.37256855523,222.011177056657,TRUE
1,1,TRUE,78,50698.1363057613,7604.7204458642,228.141613375926,TRUE
1,2,TRUE,79,52138.9941910797,11611.7029139456,2195.80226600347,TRUE
1,3,TRUE,80,53417.9099827442,12858.0483987823,2482.92152979921,TRUE
1,4,TRUE,81,54897.0774562501,13817.9617600766,2695.91914100171,TRUE
2,0,FALSE,35,28475.2999878234,1537.66619934247,4.6129985980274,FALSE
2,1,FALSE,36,29909.5515844837,1884.30174982247,7.5372069992899,FALSE
2,2,FALSE,37,31344.4835199782,1567.22417599891,4.70167252799674,FALSE
2,3,FALSE,38,32725.8283775123,818.145709437808,1.63629141887562,FALSE
2,4,FALSE,39,34097.3164874207,1397.98997598425,4.19396992795274,FALSE
3,0,TRUE,42,38513.6031346818,4120.95553541095,0,TRUE
3,1,TRUE,43,39954.6626926389,4355.05823349765,0,TRUE
3,2,TRUE,44,41429.7617725597,8025.2220981004,1276.83304795343,TRUE
3,3,TRUE,45,42852.6254451245,8557.95606577171,1361.59236394184,TRUE
3,4,TRUE,46,44216.3470156788,8830.30038926465,1404.92303172991,TRUE
4,0,TRUE,55,52300.5828553464,9361.804331107,262.130521270996,FALSE
4,1,TRUE,56,53720.4074815359,9723.39375415799,272.255025116424,FALSE
4,2,TRUE,57,55071.7534847688,10573.7766690756,317.213300072268,FALSE
4,3,TRUE,58,56545.6117054566,10630.5750006258,318.917250018775,FALSE
4,4,TRUE,59,57779.1060497139,10400.2390889485,291.206694490558,FALSE
5,0,FALSE,77,61483.4593656148,13157.4603042416,605.243173995112,TRUE
5,1,FALSE,78,62697.6872500001,12602.23513725,541.896110901751,TRUE
5,2,FALSE,79,63963.3197571015,16355.8488963827,2340.56317054914,TRUE
5,3,FALSE,80,65300.4821877868,16044.7654561538,2263.95681585226,TRUE
5,4,FALSE,81,66758.2751006901,15735.3721792141,2188.82990088662,TRUE
6,0,FALSE,31,43364.5936849335,5637.39717904135,78.9235605065789,FALSE
6,1,FALSE,32,44777.9566699281,6179.35802045008,92.6903703067513,FALSE
6,2,FALSE,33,46136.6994088529,6966.64161073679,111.466265771789,FALSE
6,3,FALSE,34,47593.6279971945,6853.482431596,109.655718905536,FALSE
6,4,FALSE,35,49062.1507681709,7015.88755984844,112.254200957575,FALSE
7,0,FALSE,77,68949.7717150998,16961.6438419146,712.389041360412,FALSE
7,1,FALSE,78,70378.5851645133,15694.4244916865,596.388130684085,FALSE
7,2,FALSE,79,71790.356270112,16655.362654666,649.559143531973,FALSE
7,3,FALSE,80,73106.8974310504,17764.9760757453,728.364019105555,FALSE
7,4,FALSE,81,74564.3628398404,18790.2194356398,807.97943573251,FALSE
8,0,TRUE,80,75894.2088465893,21022.6958505052,1219.3163593293,FALSE
8,1,TRUE,81,77221.5103626877,19923.1496735734,1075.85008237296,FALSE
8,2,TRUE,82,78455.0687463417,20162.9526678098,1088.79944406173,FALSE
8,3,TRUE,83,79888.5979296092,21170.4784513464,1164.37631482405,FALSE
8,4,TRUE,84,81006.9344962349,22195.9000519684,1265.1663029622,FALSE
9,0,TRUE,61,46742.7780081461,6917.93114520563,0,FALSE
9,1,TRUE,62,48143.6835863395,7269.69622153726,0,FALSE
9,2,TRUE,63,49416.5944272762,7017.15640867322,0,FALSE
9,3,TRUE,64,50826.1979727386,6963.18912226519,0,FALSE
9,4,TRUE,65,52117.0637375643,7609.09130568438,0,FALSE
10,0,TRUE,59,53400.1157356196,9291.62013799781,0,TRUE
10,1,TRUE,60,54834.6034189729,10199.236235929,0,TRUE
10,2,TRUE,61,56160.4820952081,13742.8457875809,2186.52137722946,TRUE
10,3,TRUE,62,57625.8031772027,14389.5486779753,2289.41343586272,TRUE
10,4,TRUE,63,58966.9155048944,14370.6319077257,2286.40373007264,TRUE
11,0,FALSE,22,20856.3043261203,437.982390848526,1.7519295633941,TRUE
11,1,FALSE,23,22340.6593843999,513.835165841198,2.05534066336479,TRUE
11,2,FALSE,24,23812.948993831,1445.60535718549,146.154342480912,TRUE
11,3,FALSE,25,25232.8984256458,1531.80578981968,154.869423322718,TRUE
11,4,FALSE,26,26704.0898523472,1701.22922400551,171.998559224993,TRUE
12,0,FALSE,31,36027.7144101855,3386.60515455743,54.1856824729189,TRUE
12,1,FALSE,32,37499.4391410929,4274.93606208459,81.2237851796073,TRUE
12,2,FALSE,33,38821.0690511783,6898.76375610634,835.457665937236,TRUE
12,3,FALSE,34,40232.0849310468,6586.26153126514,777.854074854028,TRUE
12,4,FALSE,35,41670.5822568339,6780.08258748286,800.744829746736,TRUE
13,0,TRUE,29,58401.9614161628,12089.2060131457,0,FALSE
13,1,TRUE,30,59695.4077373202,12177.8631784133,0,FALSE
13,2,TRUE,31,61147.2237304575,12046.0030749001,0,FALSE
13,3,TRUE,32,62391.9645897954,12852.7447054978,0,FALSE
13,4,TRUE,33,63591.5409355912,12145.9843186979,0,FALSE
14,0,FALSE,63,67726.3206412099,16254.3169538904,0,FALSE
14,1,FALSE,64,69189.3230756331,15221.6510766393,0,FALSE
14,2,FALSE,65,70599.6759644318,14755.3322765663,0,FALSE
14,3,FALSE,66,72033.3231007093,15343.0978204511,0,FALSE
14,4,FALSE,67,73338.2349875189,14374.2940575537,0,FALSE
15,0,TRUE,43,59107.4825319573,11703.2815413275,409.614853946464,FALSE
15,1,TRUE,44,60357.5199908317,11950.7889581847,418.277613536463,FALSE
15,2,TRUE,45,61581.95462225,12439.5548336945,435.384419179308,FALSE
15,3,TRUE,46,63015.7418025495,12918.2270695227,465.056174502816,FALSE
15,4,TRUE,47,64254.7352043768,13300.730187306,478.826286743016,FALSE
16,0,TRUE,68,46478.4886063486,7018.25177955864,210.547553386759,FALSE
16,1,TRUE,69,47899.2358397386,7089.08690428131,212.672607128439,FALSE
16,2,TRUE,70,49166.1555294118,7964.9171957647,262.842267460235,FALSE
16,3,TRUE,71,50601.4225265204,7792.61906908414,241.571191141609,FALSE
16,4,TRUE,72,52016.6181656125,7958.54257933871,238.756277380161,FALSE
17,0,TRUE,50,31078.5623204296,2020.10655082793,14.1407458557955,FALSE
17,1,TRUE,51,32457.8566294218,1979.92925439473,11.8795755263684,FALSE
